"","V1","District Name","District Name2","District Name3","County Name (District).x","District Type (District).x","Enrollment (District).x","Enrollment (County)","Enrollment (State)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Total Gen Fund Revenues (District)","Total Gen Fund Revenues (State)","Total Gen Fund Revenues Per Student (District)","Total Gen Fund Expenditures (District)","Total Gen Fund Expenditures Per Student (District)","County Name (District).y","District Type (District).y","City (District)","CDS Number (District)","Enrollment (District).y","p_CohortGraduates","CohortDropouts","p_CohortDropouts","CohortGraduates","CAASPPMATH","CAASPPELA","TGFExp","TGFExpPS","TGFRev","TGFRevPS","GENLOCALREVPS","GENSTATEREVPS","FEDREVPS","Zscore"
"1","1","Alameda Unified (Alameda)","Alameda Unified","Alameda Unified School District","Alameda","Unified School District",11201,226904,6228235,"11570","108006467",66666947122,"11919","107894469","11907","Alameda","Unified School District","Alameda","01-61119-0000000",11201,NA,NA,NA,NA,58.2,65.9,107894469,11907,108006467,11919,2154,1008,390,-0.435911670289229
"2","2","Albany City Unified (Alameda)","Albany City Unified","Albany City Unified School District","Alameda","Unified School District",3702,226904,6228235,"12165","45554287",66666947122,"12649","45221452","12556","Alameda","Unified School District","Albany","01-61127-0000000",3702,NA,NA,NA,NA,73.9,79.4,45221452,12556,45554287,12649,2474,1534,289,-0.33409537458202
"3","3","Alexander Valley Union Elementary (Sonoma)","Alexander Valley Union Elementary","Alexander Valley Union Elementary School District","Sonoma","Elementary School District",130,70940,6228235,"17406","2281489",66666947122,"18318","2185999","17551","Sonoma","Elementary School District","Healdsburg","49-70599-0000000",130,NA,NA,NA,NA,50.8,61.5,2185999,17551,2281489,18318,2427,1107,372,0.456584872492185
"4","4","Alum Rock Union Elementary (Santa Clara)","Alum Rock Union Elementary","Alum Rock Union Elementary School District","Santa Clara","Elementary School District",11624,273264,6228235,"13316","132672855",66666947122,"13116","137848622","13627","Santa Clara","Elementary School District","San Jose","43-69369-0000000",11624,NA,NA,NA,NA,30.8,37.9,137848622,13627,132672855,13116,699,1240,693,-0.268960840204942
"5","5","Antioch Unified (Contra Costa)","Antioch Unified","Antioch Unified School District","Contra Costa","Unified School District",17326,177370,6228235,"11206","190787753",66666947122,"11987","187138072","11758","Contra Costa","Unified School District","Antioch","07-61648-0000000",17326,NA,NA,NA,NA,19.7,31.4,187138072,11758,190787753,11987,518,1034,520,-0.426427412606914
"6","6","Bayshore Elementary (San Mateo)","Bayshore Elementary","Bayshore Elementary School District","San Mateo","Elementary School District",368,95620,6228235,"13004","4607725",66666947122,"12986","4778466","13467","San Mateo","Elementary School District","Daly City","41-68858-0000000",368,NA,NA,NA,NA,22.3,29.1,4778466,13467,4607725,12986,1284,803,1052,-0.287092509303486
"7","7","Bellevue Union (Sonoma)","Bellevue Union","Bellevue Union Elementary School District","Sonoma","Elementary School District",1895,70940,6228235,"13965","21950245",66666947122,"13141","24170948","14470","Sonoma","Elementary School District","Santa Rosa","49-70615-0000000",1895,NA,NA,NA,NA,28.5,35.2,24170948,14470,21950245,13141,681,1208,747,-0.265473980762915
"8","8","Belmont-Redwood Shores Elementary (San Mateo)","Belmont-Redwood Shores Elementary","Belmont-Redwood Shores Elementary School District","San Mateo","Elementary School District",4230,95620,6228235,"10307","43760504",66666947122,"10690","43101894","10529","San Mateo","Elementary School District","Belmont","41-68866-0000000",4230,NA,NA,NA,NA,74.5,78.3,43101894,10529,43760504,10690,1677,838,233,-0.607325680459312
"9","9","Benicia Unified (Solano)","Benicia Unified","Benicia Unified School District","Solano","Unified School District",4856,63643,6228235,"9796","46257221",66666947122,"9975","46355333","9996","Solano","Unified School District","Benicia","48-70524-0000000",4856,NA,NA,NA,NA,53.5,56.9,46355333,9996,46257221,9975,585,837,267,-0.707049860501305
"10","10","Bennett Valley Union Elementary (Sonoma)","Bennett Valley Union Elementary","Bennett Valley Union Elementary School District","Sonoma","Elementary School District",1035,70940,6228235,"9796","9945247",66666947122,"10023","9839251","9916","Sonoma","Elementary School District","Santa Rosa","49-70623-0000000",1035,NA,NA,NA,NA,57.2,64.6,9839251,9916,9945247,10023,911,903,213,-0.700355090372611
