"","ID","state.x","gov_type","county","unit","auto","year","flag","revenueitems","number","revenueitems_final","state.y","jrsd_type","cnty","etc","jrdsct_name","unknown"
"1","052001001","05",2,"001","001",0,2012,"R",168625,28,168625000,"05","2","001","00100000","ALAMEDA CITY                                                    ","0600100562    7863016"
"2","052001002","05",2,"001","002",0,2012,"R",25423,19,25423000,"05","2","001","00200000","ALBANY CITY                                                     ","0600100674    1973516"
"3","052001003","05",2,"001","003",0,2012,"R",293253,27,293253000,"05","2","001","00300000","BERKELEY CITY                                                   ","0600106000   12097216"
"4","052001004","05",2,"001","004",0,2012,"R",80189,23,80189000,"05","2","001","00400000","EMERYVILLE CITY                                                 ","0600122594    1169416"
"5","052001005","05",2,"001","005",0,2012,"R",214374,30,214374000,"05","2","001","00500000","FREMONT CITY                                                    ","0600126000   23220616"
"6","052001006","05",2,"001","006",0,2012,"R",254962,30,254962000,"05","2","001","00600000","HAYWARD CITY                                                    ","0600133000   15828916"
"7","052001007","05",2,"001","007",0,2012,"R",156146,32,156146000,"05","2","001","00700000","LIVERMORE CITY                                                  ","0600141992    8812616"
"8","052001008","05",2,"001","008",0,2012,"R",41019,22,41019000,"05","2","001","00800000","NEWARK CITY                                                     ","0600150916    4533616"
"9","052001009","05",2,"001","009",0,2012,"R",1343294,30,1343294000,"05","2","001","00900000","OAKLAND CITY                                                    ","0600153000   41926716"
"10","052001010","05",2,"001","010",0,2012,"R",24325,20,24325000,"05","2","001","01000000","PIEDMONT CITY                                                   ","0600156938    1137616"
"11","052001011","05",2,"001","011",0,2012,"R",154387,32,154387000,"05","2","001","01100000","PLEASANTON CITY                                                 ","0600157792    7951016"
"12","052001012","05",2,"001","012",0,2012,"R",122973,29,122973000,"05","2","001","01200000","SAN LEANDRO CITY                                                ","0600168084    9071216"
"13","052001501","05",2,"001","501",0,2012,"R",85651,28,85651000,"05","2","001","50100000","UNION CITY CITY                                                 ","0600181204    7449416"
"14","052001601","05",2,"001","601",0,2012,"R",67134,25,67134000,"05","2","001","60100000","DUBLIN CITY                                                     ","0600120018    5772116"
"15","052007001","05",2,"007","001",0,2012,"R",93627,24,93627000,"05","2","007","00100000","ANTIOCH CITY                                                    ","0601302252   11054216"
"16","052007002","05",2,"007","002",0,2012,"R",96061,23,96061000,"05","2","007","00200000","BRENTWOOD CITY                                                  ","0601308142    5896816"
"17","052007003","05",2,"007","003",0,2012,"R",120026,25,120026000,"05","2","007","00300000","CONCORD CITY                                                    ","0601316000   12866716"
"18","052007004","05",2,"007","004",0,2012,"R",41044,19,41044000,"05","2","007","00400000","EL CERRITO CITY                                                 ","0601321796    2495416"
"19","052007005","05",2,"007","005",0,2012,"R",30125,18,30125000,"05","2","007","00500000","HERCULES CITY                                                   ","0601333308    2531416"
"20","052007006","05",2,"007","006",0,2012,"R",34831,22,34831000,"05","2","007","00600000","MARTINEZ CITY                                                   ","0601346114    3813716"
"21","052007007","05",2,"007","007",0,2012,"R",24931,20,24931000,"05","2","007","00700000","PINOLE CITY                                                     ","0601357288    1926916"
"22","052007008","05",2,"007","008",0,2012,"R",110274,28,110274000,"05","2","007","00800000","PITTSBURG CITY                                                  ","0601357456    6942416"
"23","052007009","05",2,"007","009",0,2012,"R",254552,29,254552000,"05","2","007","00900000","RICHMOND CITY                                                   ","0601360620   10970816"
"24","052007010","05",2,"007","010",0,2012,"R",44149,21,44149000,"05","2","007","01000000","SAN PABLO CITY                                                  ","0601368294    3040716"
"25","052007011","05",2,"007","011",0,2012,"R",70127,21,70127000,"05","2","007","01100000","WALNUT CREEK CITY                                               ","0601383346    6891016"
"26","052007301","05",2,"007","301",0,2012,"R",29273,20,29273000,"05","2","007","30100000","OAKLEY CITY                                                     ","0601353070    3981316"
