,ID,state.x,gov_type,county,unit,auto,year,flag,revenueitems,number,revenueitems_final,state.y,jrsd_type,cnty,etc,jrdsct_name,unknown,name,name1,name2,name3,name4,name5,name6,name7
159,55043703,5,5,43,703,0,2012,R,126829,7,126829000,5,5,43,70300000,SAN JOSE EVERGREEN COMMUNITY COLLEGE DISTRICT                   ,6085,SAN JOSE EVERGREEN COMMUNITY COLLEGE DISTRICT                   ,SAN,JOSE,EVERGREEN,COMMUNITY,COLLEGE,DISTRICT,
119,55041026,5,5,41,26,0,2012,R,208291,5,208291000,5,5,41,2600000,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT                     ,6081,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT                     ,SAN,MATEO,COUNTY,COMMUNITY,COLLEGE,DISTRICT,
108,55043501,5,5,43,501,0,2012,R,375515,7,375515000,5,5,43,50100000,FOOTHILL DE ANZA COMMUNITY COLLEGE DISTRICT                     ,6085,FOOTHILL DE ANZA COMMUNITY COLLEGE DISTRICT                     ,FOOTHILL,DE,ANZA,COMMUNITY,COLLEGE,DISTRICT,
16,55043038,5,5,43,38,0,2012,R,182334,10,182334000,5,5,43,3800000,PALO ALTO UNIFIED SCHOOL D                                      ,6085,PALO ALTO UNIFIED SCHOOL D                                      ,PALO,ALTO,UNIFIED,SCHOOL,DISTRICT,,
88,55049006,5,5,49,6,0,2012,R,18800,7,18800000,5,5,49,600000,BELLEVUE UNION EL SCH D                                         ,6097,BELLEVUE UNION EL SCH D                                         ,BELLEVUE,UNION,ELEMENTARY,SCHOOL,DISTRICT,,
111,55049014,5,5,49,14,0,2012,R,52526,8,52526000,5,5,49,1400000,COTATI-ROHNERT PK UNIF SCH DIS                                  ,6097,COTATI-ROHNERT PK UNIF SCH DIS                                  ,COTATI-ROHNERT,PK,UNIFIED,SCHOOL,DISTRICT,,
89,55001002,5,5,1,2,0,2012,R,57712,10,57712000,5,5,1,200000,ALBANY CITY UNIFIED SCH DIST                                    ,6001,ALBANY CITY UNIFIED SCH DIST                                    ,ALBANY,CITY,UNIFIED,SCHOOL,DISTRICT,,
2,55043704,5,5,43,704,0,2012,R,83886,10,83886000,5,5,43,70400000,MORGAN HILL UNIFIED SCH DIST                                    ,6085,MORGAN HILL UNIFIED SCH DIST                                    ,MORGAN,HILL,UNIFIED,SCHOOL,DISTRICT,,
10,55043040,5,5,43,40,0,2012,R,349781,10,349781000,5,5,43,4000000,SAN JOSE UNIFIED SCH DIST                                       ,6085,SAN JOSE UNIFIED SCH DIST                                       ,SAN,JOSE,UNIFIED,SCHOOL,DISTRICT,,
77,55048010,5,5,48,10,0,2012,R,181284,11,181284000,5,5,48,1000000,FAIRFIELD-SUISUN JT UNIFIED SCH DIST                            ,6095,FAIRFIELD-SUISUN JT UNIFIED SCH DIST                            ,FAIRFIELD-SUISUN,JT,UNIFIED,SCHOOL,DISTRICT,,
