,FID,OBJECTID,ID,grad_rate,afact_sum,numcomp,nummiss,TractIDD,Test1pct_p,mean_score,missing,E_MATH,mean_sco_1,missing2,EC_ADED,MOE_BACH,PCT_NOBACH,REL_STP1,RELIABLTY,zEC_ADED,pct_freelu,E_STPOV,D_EDU,azE_STPOV,ESTPOV,zE_MATH,E_MATH2,E_READ2,zE_READ,E_HSGRAD,zE_HSGRAD,ED_EC_H_C,ID_1,LODES15job,EC_Jobs,zECJOBS,zEC_EMP,EMP_Relibl,EC_EMP,PASSIST,Reliabilit,EC_PASSIST,azEC_PASSI,D_ECON,municpPcap,Z_muncPcap,STATE_NAME,H_Parks,zH_Parks,H_Crime,azH_Crime,EST_H_INS,zH_INS,EST_2xFPL,F40_POV2,EC_POV2,azEC_POV2,H_GROCERY,zH_GROCE_2,H_PM25,azH_PM25,Avg_nearP,zH_CARE,H_TOXREL,azH_TOXREL,D_HOUS,Max_downlo,z_Broadban,azH_CARE,routestrip,zEC_TRANS,S30,Filtered,test,TractID,total_est,moe_est,est_male_n,moe_male_n,est_fe_no_,moe_fe_no_,p_spf,CountyID,TractID_1,DI_CNTY,DI_RK_CNTY,Opp_Rank,ORank,POV30,seg_spf_po,Filtered_A,Filtered_B,Filtered_C,IndexScore,B_Ranked_1,B_Ranked_2,zE_READ_R
1,0,11144,6097154202,83.0314,1,3,0,609715420,50.3333,2478.63,0,53.6667,2490.13,0,25,6.1,75,0.081333333,Reliable,-0.876681903,45.03333333,53.5,-0.08643196,0.25018281,53.5,0.377732464,53.66666667,50.33333333,0.056603939,83.0314,-0.239997108,-0.067271664,6097154202,1853.12,1,-0.286,-0.293,Reliable,58.6,11,Unreliable,0.004899777,0.779970357,-0.172084572,1234.857275,-0.501548216,California,35297146.64,1.02,47,0.747047772,5621,0.58,4936,0,0.16888365,0.523647617,2914.728792,1.198020603,4.50614746,3.820859194,29987.54791,10.13,0,0.212597514,-0.253478413,80,0.242908287,-10.13,176,-0.559845003,0,0,0,6097154202,1611,148,85,63,130,76,0.13345748,6097,6097154202,0.020855744,Low segregation,3,Moderate Opportunity,0,0,0,0,0,6.093985498,Moderate Opportunity,Moderate Opportunity,0.056586046
2,1,11146,6097154303,91.40831,1,2,0,609715430,NA,NA,0,NA,NA,0,61.8,7.3,38.2,0.118122977,Reliable,0.826700707,73.63333333,83.56666667,-0.385885576,1.385764447,83.56666667,-2.162713126,0,0,-2.503831984,91.40831,0.524652078,-1.57245236,6097154303,176.147541,0,-0.287,-3.125,Reliable,33.3,0,Unreliable,0,0.938911585,-0.713508148,1234.857275,-0.501548216,California,32098274.31,0.91,81,0.290794418,1380,0.84,1210,0,0.160305344,0.573168516,6489.299453,3.487327683,6.18286598,2.301254287,35958.4584,12.31,0,0.212597514,-0.461857198,6,-4.728558517,-12.31,23,-0.592904107,0,0,0,6097154303,430,91,9,10,14,17,0.053488372,6097,6097154303,0.11195927,High segregation,3,Moderate Opportunity,0,0,0,0,0,2.580772973,Low Opportunity,Low Opportunity,-2.503040509
3,2,11147,6097154304,92.68260081,0.992,5,0,609715430,NA,NA,0,NA,NA,0,33.4,5.3,66.6,0.07957958,Reliable,-0.487866307,41.5,48.8,-0.888154369,0.072669495,48.8,-2.162713126,0,0,-2.503831984,92.68260081,0.64097008,-0.151891094,6097154304,230.7831325,0,-0.288,-0.394,Reliable,57.7,28,Unreliable,0.031496063,-0.082772182,0.05733819,4718.944375,1.640910076,California,110400000,3.59,83,0.263955985,1472,-2.66,1408,0,0.273852501,-0.082317164,8506.578877,4.779279222,7.04574177,1.519232577,23547.58524,7.78,0,0.212597514,-0.019656483,80,0.242908287,-7.78,39,-0.589446946,0,0,0,6097154304,505,101,4,5,63,31,0.132673267,6097,6097154304,0.074504306,Moderate segregation,3,Moderate Opportunity,0,0,0,0,0,4.059232879,Low Opportunity,Low Opportunity,-2.503040509
4,3,3575,6001401700,64.92,1,1,0,600140170,8.33333,2362.53,0,7,2386.93,0,45.8,6.8,54.2,0.125461255,Reliable,0.086099572,87.26666667,91.06666667,-0.809871126,1.669030376,91.06666667,-1.831350658,7,8.333333333,-2.079918752,64.92,-1.893216168,-0.228412285,6001401700,185236.8043,103,0.121,1.219,Reliable,72.1,96,Unreliable,0.07735697,-1.570429368,0.133283138,3437.961323,0.853199355,California,172941.44,-0.18,244,-1.896537842,2379,-0.84,1735,0,0.378136201,-0.684326699,839.978259,-0.130737879,8.69794377,0.021846918,2550.361499,0.13,9999,0,-0.479969438,80,0.242908287,-0.13,2969,0.043645704,-1,0,0,6001401700,483,88,85,54,132,69,0.449275362,6001,6001401700,0.198870297,Moderate segregation,3,Moderate Opportunity,-1,0,0,-1,-1,3.116761966,Lowest Opportunity,Lowest Opportunity,-2.079261278
5,4,3671,6001420300,93.27,1,1,0,600142030,61.6667,2499.5,0,65.6667,2510.27,0,73.1,8.2,26.9,0.112175103,Reliable,1.349750259,19.33333333,23.4,0.547317807,-0.886657786,23.4,0.94578241,65.66666667,61.66666667,0.633125935,93.27,0.694588217,0.345343309,6001420300,98475.93548,38,-0.139,1.219,Reliable,72.1,7,Unreliable,0.003691983,0.819149339,0.317867646,1371.325314,-0.417630371,California,2893346.15,-0.09,75,0.371309716,4239,0.44,4009,0,0.115206356,0.833516207,890.8973948,-0.098127099,8.69794377,0.021846918,831.9004989,-0.5,780.7101989,0.207690229,0.273279496,80,0.242908287,0.5,3266,0.10781926,-1,0,0,6001420300,1220,129,131,78,243,117,0.306557377,6001,6001420300,0.124660286,Low segregation,2,High Opportunity,0,0,0,0,-1,7.509641772,High Opportunity,High Opportunity,0.6329258
6,5,3672,6001420400,93.27,1,1,0,600142040,70.6667,2514.83,0,71.3333,2524.43,0,83.8,4.5,16.2,0.053699284,Reliable,1.845027268,13.83333333,17.5,0.747020456,-1.10949365,17.5,1.214028217,71.33333333,70.66666667,1.090952226,93.27,0.694588217,0.143806577,6001420400,103365.125,84,0.045,-1.703,Reliable,46,23,Unreliable,0.018081761,0.352367111,-0.289813623,1371.325314,-0.417630371,California,1598829.01,-0.13,155,-0.70222759,3468,0.89,1769,-1,0.511595803,-1.454763056,651.1726786,-0.251657003,8.69794377,0.021846918,1045.977435,-0.42,780.7101989,0.207690229,-0.124888813,80,0.242908287,0.42,4036,0.274195144,0,0,0,6001420400,985,79,51,32,144,72,0.197969543,6001,6001420400,0.145695391,Moderate segregation,1,Very High Opportunity,-1,0,0,0,0,7.735213725,Very High Opportunity,High Opportunity,1.09060737
7,6,3684,6001422000,87.21,1,1,0,600142200,61.3333,2492.43,0,64.6667,2506.57,0,58.7,6.8,41.3,0.115843271,Reliable,0.683209237,26.16666667,30.6,0.344905796,-0.614722494,30.6,0.898444915,64.66666667,61.33333333,0.616169405,87.21,0.141427915,0.01961255,6001422000,138529.1406,124,0.205,0.547,Reliable,66.1,57,Unreliable,0.06729634,-1.244078023,0.068075507,2604.841002,0.340891399,California,2930620.76,-0.09,415,-4.191223833,1806,0.36,1134,-1,0.415463918,-0.899812356,337.1469906,-0.452772409,8.69794377,0.021846918,1051.905139,-0.42,24.01235487,0.21244658,-0.577439387,80,0.242908287,0.42,5042,0.491564156,-1,0,0,6001422000,481,81,70,54,93,53,0.338877339,6001,6001422000,0.179256012,Moderate segregation,2,High Opportunity,-1,0,0,-1,-1,6.892750188,Lowest Opportunity,Lowest Opportunity,0.615974631
8,7,3708,6001425101,83.02,1,1,0,600142510,48,2463.7,0,40.3333,2462.9,0,74.5,10.9,25.5,0.146308725,Reliable,1.414552858,50.23333333,58.13333333,0.25663349,0.425178207,58.13333333,-0.253434142,40.33333333,48,-0.062091766,83.02,-0.241037707,0.275004694,6001425101,204207.6667,208,0.541,-0.024,Reliable,61,29,Unreliable,0.024744027,0.136253455,0.868173862,7955.257937,3.631005797,California,2374056.37,-0.11,319,-2.902979066,1516,0.85,1182,0,0.252844501,0.038957942,373.6400539,-0.4294007,8.69794377,0.021846918,1120.492876,-0.39,9999,0,-0.267696863,80,0.242908287,0.39,3029,0.056610059,0,0,0,6001425101,246,76,6,9,42,24,0.195121951,6001,6001425101,0.219652452,Moderate segregation,3,Moderate Opportunity,0,0,0,0,0,6.325012005,Moderate Opportunity,Moderate Opportunity,-0.062072139
9,8,3729,6001428700,86.93,1,1,0,600142870,55.3333,2471.37,0,44,2460.93,0,45.6,6.1,54.4,0.112132353,Reliable,0.076842058,37.33333333,42.3,0.050194464,-0.172827644,42.3,-0.079863325,44,55.33333333,0.310951878,86.93,0.115869353,-0.09880079,6001428700,150785.2231,79,0.026,-0.841,Reliable,53.7,137,Unreliable,0.1096,-2.616343588,-0.647286776,2284.520132,0.143917534,California,139875.11,-0.18,0,0,0,0,0,0,0,0,0,0,8.69794377,0.021846918,2652.143331,0.17,9999,0,-0.041019135,80,0.242908287,-0.17,3003,0.050992172,0,0,0,6001428700,834,86,33,26,139,71,0.206235012,6001,6001428700,0.043125004,Low segregation,3,Moderate Opportunity,0,0,0,0,0,6.476875652,Moderate Opportunity,Moderate Opportunity,0.310853584
10,9,3916,6001981900,64.92,1,1,0,600198190,8,2363.67,0,2.66667,2386.43,0,73.9,46.6,26.1,0.630581867,Unreliable,1.386780315,90.6,92.8,-0.581058932,1.73449628,92.8,-2.036479805,2.666666667,8,-2.096875281,64.92,-1.893216168,1.385698121,6001981900,155625.8571,6766,26.627,4.342,Unreliable,100,0,Unreliable,0,0.938911585,6.653430392,3437.961323,0.853199355,California,70380.66,-0.19,438,-4.499865808,19,-1.26,23,0,0,0,1728.205761,0.43812079,8.69794377,0.021846918,4073.157202,0.69,9999,0,-0.772487263,80,0.242908287,-0.69,5109,0.506041019,0,0,0,6001981900,6,8,0,12,0,12,0,6001,6001981900,0.198658029,Moderate segregation,3,Moderate Opportunity,0,0,0,0,0,4.715053531,Low Opportunity,Low Opportunity,-2.096212447
