,fips,county_name,total_pop_2017,below_200_pov_2017,moe_below_200_pov_2017,pct_below_200_pov_2017,P_INSURED,H_Crime,zRratio,z_healthcare,AVGDIS_REL,Z_SDREV,AdjZ_Ttox,reg_vote,z_VOTRATE,pct_parks,z_parks,z_pm25,z_toxRel,z_lead_pctl,az_toxRel
1,6001400100,Alameda,2991,286,141,0.095908786,0.984286192,75,-0.667426185,-0.060546622,425.1494698,-0.59,0.13301156,36,-0.139,0.649642492,1.00840449,-0.022580452,-0.063690583,-0.726999779,-0.063690583
2,6001400200,Alameda,1997,233,65,0.116909182,0.966950426,157,0.622844956,-0.489706242,148.1649029,-0.59,0.13301156,112,0.888,0.22289767,-0.481162361,-0.022580452,-0.02104455,-0.726999779,-0.02104455
3,6001400300,Alameda,5123,661,240,0.129964609,0.96974429,183,0.493817842,-0.336584253,207.672802,-0.59,0.133005259,62,0.212,0.257142857,-0.361628407,-0.022580452,-0.004779135,-0.726999779,-0.004779135
4,6001400400,Alameda,3991,794,251,0.199547625,0.966382338,166,0.068555006,-0.582218683,82.93608563,-0.59,0.132924153,30,-0.22,0.608425601,0.864535573,-0.022580452,-0.023522493,-0.726999779,-0.023522493
5,6001400500,Alameda,3944,774,300,0.197097021,0.937119675,155,-0.482722988,-0.560210669,120.6460949,-0.59,0.132794701,27,-0.261,0.515496162,0.540162306,-0.022580452,-0.027478172,-0.726999779,-0.027478172
6,6001400600,Alameda,1635,320,117,0.195718654,0.95412844,234,1.224971488,-0.352824348,134.9496754,-0.59,0.132904103,59,0.172,0.492679822,0.460521121,-0.022580452,-0.005368898,-0.726999779,-0.005368898
7,6001400700,Alameda,4837,1959,521,0.406010363,0.857349597,207,2.089062161,-0.338630193,136.8586361,-0.59,0.132687499,13,-0.45,0,-1.259194014,-0.022580452,-0.006852429,-0.726999779,-0.006852429
8,6001400800,Alameda,3796,1407,469,0.3755004,0.889357218,189,-0.00147979,-0.451243023,128.1856619,-0.59,0.132757346,12,-0.463,0.742904841,1.333939789,-0.022580452,-0.01628763,-0.726999779,-0.01628763
9,6001400900,Alameda,2394,768,217,0.326253186,0.940267335,216,0.493817842,-0.406767594,146.3735635,-0.59,0.132856186,5,-0.558,0.365768897,0.01753436,-0.022580452,0.01035668,-0.726999779,0.01035668
10,6001401000,Alameda,6247,2385,565,0.3822728,0.903029332,218,1.733600112,-0.492202538,101.4550168,-0.59,0.132896779,30,-0.22,0,-1.259194014,-0.022580452,0.029181928,-0.726999779,0.029181928
11,6001401100,Alameda,4205,1159,311,0.275624257,0.917479191,259,0.493817842,-0.583063758,108.9943305,-0.59,0.13301156,42,-0.058,0.29186718,-0.240422015,-0.022580452,0.026291838,-0.726999779,0.026291838
12,6001401200,Alameda,2601,512,146,0.198449612,0.965503876,274,0.201356383,-0.58520302,161.5226983,-0.59,0.13301156,2,-0.598,0.227649007,-0.464577663,-0.022580452,0.021893604,-0.726999779,0.021893604
13,6001401300,Alameda,4054,1828,516,0.485524568,0.799734396,341,0.493817842,-0.873773061,82.52711775,-0.59,0.13301156,4,-0.571,0.143707483,-0.757578314,-0.022580452,0.058576648,-0.726999779,0.058576648
14,6001401400,Alameda,4013,2578,417,0.648064354,0.843757787,141,-1.699643098,-0.694478386,88.7791497,-0.59,0.13301156,70,0.32,0.128419101,-0.810942916,-0.022580452,0.056504652,-0.726999779,0.056504652
15,6001401500,Alameda,2638,1238,225,0.46929492,0.873768006,296,-0.132885284,-0.484080471,81.26472888,-0.59,0.13301156,84,0.51,0.634220532,0.954573631,-0.022580452,0.058517224,-0.726999779,0.058517224
16,6001401600,Alameda,2098,934,205,0.445185891,0.854623451,249,-1.088350705,-0.45916216,110.0609445,-0.59,0.13301156,6,-0.544,0.019879797,-1.18980293,-0.022580452,0.070983775,-0.726999779,0.070983775
17,6001401700,Alameda,2769,924,239,0.335633854,0.907366885,244,-0.765038002,-0.138191782,228.6434387,-0.59,0.13289651,86,0.537,0.50656168,0.508976204,-0.022580452,0.078200538,-0.726999779,0.078200538
18,6001401800,Alameda,1928,980,212,0.508298755,0.830394191,168,-0.62576118,-0.066490576,80.2141081,-0.59,0.13301156,132,1.158,0,-1.259194014,-0.022580452,0.089935146,-0.726999779,0.089935146
19,6001402200,Alameda,2557,1444,223,0.567164179,0.859601095,201,1.690251081,-0.185647319,130.3298512,-0.59,0.13301156,68,0.293,0.303983229,-0.198130549,-0.022580452,0.095321762,-0.726999779,0.095321762
20,6001402400,Alameda,2820,1121,260,0.400214209,0.876115673,166,-0.269125094,-0.485412705,115.8317658,-0.59,0.13301156,111,0.875,0.943853679,2.035358322,-0.022580452,0.080498834,-0.726999779,0.080498834
21,6001402500,Alameda,1770,1214,214,0.685875706,0.918644068,272,-0.366018847,-0.49936664,123.6138199,-0.59,0.132847285,3,-0.585,0.591367713,0.804994454,-0.022580452,0.090213859,-0.726999779,0.090213859
22,6001402600,Alameda,1241,833,127,0.671232877,0.883964545,259,-0.446236847,-0.669991632,94.72279751,-0.59,0.132618671,33,-0.18,0.804517811,1.549001886,-0.022580452,0.090578971,-0.726999779,0.090578971
23,6001402700,Alameda,1826,766,195,0.422737307,0.8932092,212,2.321701958,-0.648509838,94.2592536,-0.59,0.132968013,16,-0.409,0.873804971,1.790851001,-0.022580452,0.079916015,-0.726999779,0.079916015
24,6001402800,Alameda,4255,2118,272,0.497767333,0.909651411,254,0.156362312,-0.822635853,90.92461697,-0.59,0.132748545,22,-0.328,0.618535127,0.899823207,-0.022580452,0.079051226,-0.726999779,0.079051226
25,6001402900,Alameda,1417,675,100,0.510204082,0.846153846,221,0,-0.893503961,113.2581637,-0.59,0.132636147,3,-0.585,0.729428173,1.286899034,-0.022580452,0.07808798,-0.726999779,0.07808798
26,6001403000,Alameda,3251,1950,274,0.599815441,0.933866503,198,0,-0.834990359,79.94499193,-0.59,0.132534979,132,1.158,0.995337159,2.215063104,-0.022580452,0.090647837,-0.726999779,0.090647837
27,6001403100,Alameda,1830,656,159,0.456824513,0.977130977,269,0.493817842,-0.788874573,105.1274012,-0.59,0.132547841,1,-0.612,1,2.231338903,-0.022580452,0.090422265,-0.726999779,0.090422265
28,6001403300,Alameda,4743,2515,638,0.530255113,0.90845666,216,0.493817842,-0.684083472,192.1355701,-0.59,0.131424377,127,1.091,0.872964973,1.787918959,-0.022580452,0.095721392,-0.726999779,0.095721392
29,6001403400,Alameda,4401,1311,351,0.299383421,0.919387988,163,0.113319515,-0.811905315,174.4903313,-0.59,0.132290909,3,-0.585,1,2.231338903,-0.022580452,0.079094533,-0.726999779,0.079094533
30,6001403501,Alameda,4698,1902,461,0.410002156,0.918475947,135,1.13191557,-0.839654065,155.7427635,-0.59,0.13301156,7,-0.531,0.686785551,1.138053559,-0.022580452,0.055657868,-0.726999779,0.055657868
