tractid,vote_by_tract
06001400100,190851.856836497
06001400200,139678.406309568
06001400300,328014.82177326
06001400400,258631.764880048
06001400500,227233.797473318
06001400600,100399.999987952
06001400700,254543.56431726
06001400800,222723.157081977
06001400900,127648.055974509
06001401000,308502.488467251
06001401100,256935.769817952
06001401200,173080.491119939
06001401300,167731.39532754698
06001401400,165395.050679769
06001401500,100863.11316691
06001401600,90773.637085129
06001401700,158038.104598132
06001401800,74627.378680188
06001402200,106125.738568461
06001402400,102199.99998467001
06001402500,51705.779760838
06001402600,37873.188414933
06001402700,70936.693963792
06001402800,139227.787308747
06001402900,55424.999996992
06001403000,77899.99999347
06001403100,71299.999991444
06001403300,136457.826294725
06001403400,225560.128385241
06001403501,233190.079946255
06001403502,122809.920031863
06001403600,257467.21914463
06001403701,168721.48817426
06001403702,124018.383423894
06001403800,241875.648321145
06001403900,237132.780835759
06001404000,190784.30160888
06001404101,204198.096356642
06001404102,146869.852075623
06001404200,218781.326904574
06001404300,222929.618013858
06001404400,332567.56935284
06001404501,120463.30130235701
06001404502,391619.32309417
06001404600,299916.278993386
06001404700,136373.821333494
06001404800,149399.99999094
06001404900,269809.035993145
06001405000,204467.38951988
06001405100,284137.114514314
06001405200,277298.759625896
06001405301,160945.75667348198
06001405302,110148.322676747
06001405401,109808.51916486
06001405402,72573.416774529
06001405500,138357.49736011
06001405600,136666.903817171
06001405700,116246.440125958
06001405800,90861.481793308
06001405901,71299.99997290601
06001405902,68367.63888378399
06001406000,143396.736330151
06001406100,138253.828918397
06001406201,76664.896060419
06001406202,66235.10391533
06001406300,97152.711316404
06001406400,76967.70261183
06001406500,145462.14014997002
06001406601,158422.61197599
06001406602,76682.875502481
06001406700,306299.999980176
06001406800,189799.999980056
06001406900,193003.174588998
06001407000,170599.999985832
06001407101,78127.239488166
06001407102,116479.417295913
06001407200,111299.99998305
06001407300,61046.342295264
06001407400,65399.99999679
06001407500,68299.999990295
06001407600,207176.59497510002
06001407700,249095.15375028
06001407800,116421.594420249
06001407900,161296.82538447902
06001408000,157762.266367609
06001408100,379990.634886093
06001408200,177427.018619474
06001408300,213690.53443610301
06001408400,91110.287066199
06001408500,117999.999986565
06001408600,135159.618752809
06001408700,193431.160341277
06001408800,115562.878556995
06001408900,58399.999993332
06001409000,81531.562159069
06001409100,51699.999993279
06001409200,71399.999996025
06001409300,95286.323697253
06001409400,69817.834054496
06001409500,56750.603749666996
06001409600,98240.708677491
06001409700,102933.834933857
06001409800,138035.432991298
06001409900,217581.772125642
06001410000,179318.227830397
06001410100,102307.79379075
06001410200,103591.322619853
06001410300,56411.705912408
06001410400,113028.752074063
06001410500,63258.270572917
06001420100,145079.999984617
06001420200,141668.049230842
06001420300,204399.999986724
06001420400,70599.999997176
06001420500,120439.157951817
06001420600,212269.314508871
06001421100,144032.732722458
06001421200,268925.871633626
06001421300,282046.674447575
06001421400,113584.761895595
06001421500,259281.799450427
06001421600,239685.46777856
06001421700,202015.961435357
06001421800,155085.633155585
06001421900,251686.170183895
06001422000,118273.27820136701
06001422100,144326.7217459
06001422200,193519.575827804
06001422300,192839.179993219
06001422400,173757.950164993
06001422500,153987.200043639
06001422600,13694.364701931
06001422700,121002.564026903
06001422800,146208.987338869
06001422900,135999.999991011
06001423000,260237.804862776
06001423100,219662.195109263
06001423200,126099.999986083
06001423300,203904.68106071
06001423400,251499.999982028
06001423500,178823.95909379
06001423601,163218.247896799
06001423602,218868.670815621
06001423700,175899.999985747
06001423800,208068.979591199
06001423901,116329.967093849
06001423902,100569.352245867
06001424001,182673.967631087
06001424002,99921.496810679
06001425101,79299.999998414
06001425102,100755.037695368
06001425103,119176.68934901399
06001425104,158140.491699854
06001426100,398210.558643944
06001426200,301665.164762644
06001427100,224074.682655095
06001427200,182344.87221128
06001427300,284287.100507428
06001427600,137001.256822132
06001427700,238527.952329369
06001427800,236052.121833555
06001427900,246052.190983079
06001428000,122788.662537392
06001428100,247398.166146778
06001428200,347427.151079252
06001428301,315155.153175407
06001428302,401944.84675942
06001428400,207989.115117577
06001428500,137495.025756344
06001428600,150432.883116883
06001428700,93728.81856447
06001430101,300095.299850901
06001430102,136701.90011370002
06001430200,371218.179228078
06001430300,196417.685680088
06001430400,115886.939841395
06001430500,205016.501915435
06001430600,264003.878667436
06001430700,181785.34494764401
06001430800,222470.299513819
06001430900,136408.711969446
06001431000,92871.79486212
06001431100,113554.535745901
06001431200,230921.501797477
06001432100,200531.390749425
06001432200,174729.765402309
06001432300,153637.080512969
06001432400,150099.999988772
06001432501,116391.130171771
06001432502,118813.79309678699
06001432600,230130.441690899
06001432700,129579.204738579
06001432800,173699.99998591
06001433000,151470.673823182
06001433102,119392.580887136
06001433103,108764.285741314
06001433104,83707.31661225
06001433200,188484.379996042
06001433300,229385.557865793
06001433400,230599.999970886
06001433500,141916.249129709
06001433600,171522.682720242
06001433700,75540.124849049
06001433800,180094.424757335
06001433900,118847.53157586501
06001434000,101284.116386263
06001435102,218021.71879319998
06001435103,355318.123956971
06001435104,146615.209576119
06001435200,155770.73368387998
06001435300,132209.089061764
06001435400,126055.604492319
06001435500,96786.022286677
06001435601,94253.845455634
06001435602,108227.707850064
06001435700,132963.601629356
06001435800,180486.745380107
06001435900,185691.867488005
06001436000,159750.78186893
06001436100,163554.789607649
06001436200,62599.999998392
06001436300,195299.999978024
06001436401,278958.60811199597
06001436402,145188.736862272
06001436500,90039.120082166
06001436601,128604.569296766
06001436602,93040.973623697
06001436700,86999.999994597
06001436800,102856.224889834
06001436900,117299.999991665
06001437000,120699.999988111
06001437101,232462.624827796
06001437102,109751.90047756399
06001437200,208151.720214394
06001437300,83899.99998322
06001437400,100079.980908721
06001437500,65923.467076398
06001437600,82840.625458882
06001437701,45035.2609275
06001437702,33364.440687922
06001437800,139699.999985416
06001437900,52648.829421999995
06001438000,112282.651990393
06001438100,234721.763738562
06001438201,112436.763604147
06001438203,107105.544064801
06001438204,173638.418828884
06001438300,88099.999985904
06001438400,75652.965649254
06001440100,87086.98514760399
06001440200,146239.244499786
06001440301,228133.818321662
06001440304,137064.391476946
06001440305,142496.764546016
06001440306,96879.560029668
06001440307,152456.958373573
06001440308,168436.089090567
06001440331,80007.35106934
06001440332,117054.026571287
06001440333,97616.9672191
06001440334,133330.067097294
06001440335,178600.764910909
06001440336,123337.180403057
06001441100,193251.459003834
06001441200,270567.872625244
06001441301,96155.791005998
06001441302,195603.209266633
06001441401,205383.999987883
06001441402,173334.041596853
06001441501,228449.2507325
06001441503,169435.246686316
06001441521,188244.507282724
06001441522,143741.657068343
06001441523,76699.999990029
06001441524,98213.83560906601
06001441601,149240.322566008
06001441602,182258.393343803
06001441700,174142.063474998
06001441800,200445.92094894798
06001441921,86499.999987025
06001441923,73987.799387205
06001441924,196262.018803932
06001441925,89044.916812383
06001441926,68223.703040496
06001441927,58336.14775548
06001442000,156099.999986221
06001442100,210728.116379675
06001442200,289565.997198735
06001442301,114459.915786668
06001442302,128897.802305263
06001442400,185799.999963794
06001442500,199140.149176411
06001442601,123950.009682822
06001442602,155131.959025047
06001442700,122699.999988597
06001442800,93999.99998684
06001442900,209030.398878895
06001443001,78154.228846435
06001443002,175399.999975115
06001443102,198058.860075692
06001443103,179125.667555203
06001443104,200774.464284064
06001443105,184189.270376712
06001443200,160645.677007276
06001443301,143259.121284438
06001443321,48347.45006191
06001443322,93576.008463855
06001444100,300745.685999883
06001444200,210425.064409461
06001444301,133399.999986528
06001444302,126649.53628980799
06001444400,122301.361061616
06001444500,144369.846965414
06001444601,182742.702981951
06001444602,114215.80213813401
06001450101,136619.866909889
06001450102,100349.500940544
06001450200,179960.638285859
06001450300,198922.034601097
06001450400,255494.331661295
06001450501,155510.642940546
06001450502,242079.526504348
06001450601,170660.594431076
06001450602,379191.1977395
06001450603,204583.991212705
06001450604,233843.990001595
06001450605,182868.883082788
06001450606,314785.467408814
06001450607,154424.706849369
06001450701,407062.749650441
06001450741,198711.200017252
06001450742,229703.380084896
06001450743,144451.141231167
06001450744,284260.657860786
06001450745,234098.045233553
06001450746,145853.910362322
06001450750,101600.999144264
06001450751,317839.597277435
06001450752,289033.727254437
06001451101,356837.206758645
06001451102,216301.259740446
06001451201,269722.831141795
06001451202,161852.236223942
06001451300,302912.799936672
06001451401,252835.186100642
06001451403,87684.5179458
06001451404,175220.432956703
06001451501,213388.912788151
06001451503,238032.507356788
06001451504,72009.887243272
06001451505,178445.265544914
06001451506,106703.208953433
06001451601,253855.16474708501
06001451602,302667.24401990103
06001451701,124920.472426374
06001451703,188443.481521196
06001451704,212056.51842307398
06001981900,2900
06001982000,9250.257067695
06001983200,32891.60838632
06013301000,172191.601026144
06013302005,182285.33278418
06013302006,130038.038718528
06013302007,200683.340061467
06013302008,268337.431182071
06013302009,235874.444284547
06013302010,365816.51826433
06013303102,300794.679533723
06013303103,397391.027196143
06013303201,358406.738739874
06013303202,328305.044552582
06013303203,304619.278791926
06013303204,145362.174550553
06013303205,521177.329839924
06013304001,175604.30723486
06013304002,39324.695979326
06013304003,179499.99998955
06013304004,168940.82123967
06013304005,258829.222849137
06013305000,124249.99802857
06013306002,99618.89567343499
06013306003,126795.19178375
06013306004,86359.174957333
06013307101,137963.537888606
06013307102,98559.584048043
06013307201,66284.564247467
06013307202,57221.991695622004
06013307204,121154.589110058
06013307205,172716.412468107
06013308001,233748.45323768602
06013308002,155195.088663096
06013309000,129576.942429682
06013310000,119103.923958912
06013311000,99066.198676169
06013312000,58099.999992447
06013313101,215110.440436253
06013313102,115289.559534767
06013313103,266206.934117542
06013313203,106210.608691742
06013313204,154726.316201569
06013313205,51689.391302332
06013313206,124332.28259673499
06013314102,126670.467831132
06013314103,101567.21427221
06013314104,145562.583350233
06013314200,111605.147997315
06013315000,123994.85198801
06013316000,38913.272427187
06013317000,95455.872469761
06013318000,162202.229583396
06013319000,323816.221545407
06013320001,137642.257207844
06013320003,139288.959667546
06013320004,275786.970659771
06013321101,310511.966082247
06013321102,397031.617682775
06013321103,267871.37275785
06013321200,177649.904366644
06013322000,309933.392580677
06013323000,232035.128372801
06013324001,185480.402913384
06013324002,212135.87665643
06013325000,276128.224373654
06013326000,197502.044337824
06013327000,239573.832986806
06013328000,65765.219847391
06013329000,223018.210839326
06013330000,221767.071032934
06013331000,254212.577136292
06013332000,327787.42279828
06013333101,172024.381612357
06013333102,173370.865679289
06013333200,273999.999968494
06013334001,148062.014372858
06013334004,285051.108533425
06013334006,228148.250909507
06013334200,381989.700801885
06013335000,145487.732319944
06013336101,68936.074393467
06013336102,89660.537280169
06013336201,88970.769390971
06013336202,62453.042327781
06013337100,155888.243061267
06013337200,274517.565722264
06013337300,323610.219897322
06013338101,123040.24390702801
06013338102,174482.474080315
06013338201,200452.333610874
06013338203,208890.61628954601
06013338204,256872.06589652802
06013338301,169592.031461504
06013338302,328950.153818055
06013339001,114846.270547703
