fips,total_pop,county_name,cbsa,Black_Latinx,white_Asian,Socap_domain,edu_domain,Conduit_domain,econ_domain,housing_domain,index,index_O,SPF30_P30,Flag_HighDI_Blk_Lat_POV30,DI_Blk_Lat_POV30_OR_POV30_SPF30,white,black,asian,hispanic,other,divergence,divergence_thresh,divergence_cty,flag_high_DI,p_non_white,Flag_HighDI_Blk_Lat,CountyID.x,TOTPOP.x,county_name.x,pct_singleparent_hh_2017.y,moe_pct_singleparent_hh_2017.y,az_pct_singleparent_hh_2017,math_prof,read_prof,grad_rate,pct_not_frpm,z_math_prof,z_read_prof,z_grad_rate,az_pct_not_frpm,HD01_VD04,HD01_VD03,ratio,ratio2,z_preK,total_pop_2017,below_200_pov_2017.x,moe_below_200_pov_2017.x,pct_below_pov_2017,moe_pct_below_pov_2017,pct_below_200_pov_2017.x,pct_assist_2017,med_hhincome_2017,moe_med_hhincome_2017,employed_pop_20to60_2017,pct_employed_20to60_2017,home_value_2017,moe_home_value_2017,pct_bachelors_plus_2017,above_200_pov_2017,pct_above_200_pov_2017,tot_hh_2017,moe_tot_hh_2017,moe_pct_long_commute_2017,moe_assist_2017,moe_long_commute_pct,long_commute_pct,low_wage_med_distance,jobs_lowed,rural_flag,az_pct_assist_2017,az_pct_employed_20to60_2017,z_home_value_2017,z_pct_bachelors_plus_2017,az_pct_long_commute_2017,z_jobs_lowed,Econ_Domain,z_sdrevpcap,sdrev,sdrevpcap,sd_totpop,below_200_pov_2017.y,moe_below_200_pov_2017.y,pct_below_200_pov_2017.y,pm25,pct_pm25,toxRelease,pct_toxRelease,lead_pctl,pct_lead_pctl,Grocery,z_Grocery,az_Grocery,P_INSURED,az_insurance,H_Crime,pct_parks,az_pct_below_200_pov_2017,az_pct_below_200_pov_20172,az_pct_pm25,az_pct_toxRelease,az_pct_lead_pctl,Housing_Env_Domain,test_azcrime,azhealthcare,zparks,TOTPOP.y,Median_bb,z_broadband2,Conduit,Clubs,AVGDIS_REL,reg_vote,SOCIAL_CAP,vote_by_tract,z_regvoter,zreligious,zclubs,z_voterate,socap_O,SPF_GT_30,flag_spf,POVR200_GT_30,category_wo_filters,category,category_O
06001400100,2991,Alameda,San Francisco-Oakland-Berkeley,0.06586425944500167,0.8538950183884988,0.11608199066932255,0.03887666000000001,-0.692059655,0.2752714022857143,-0.06421351900000001,-0.06520862420899262,-0.08259959174285714,0,0,0,2070,84,484,113,240,0.23939500746358677,3,0.2671308183525385,-1,0.30792377131394183,0,6001,2991,Alameda,0.111588,0.102828434,-0.852161611,0.687478628,0.663649692,0.89659889,0.758135444,0.930029177,0.736435003,0.049943108,-0.854597803,85,40,0.470588235,0.470588235,-0.667426185,2991,286,141,0.0423,0.026,0.0959,0,208393,46352,1099,0.805718475,1104500,89904,0.813018242,2696,0.904091214,1254,1254,0.0595,0.0299,0.0595,0.180327869,8.856027329,180902,0,1.041824168,-0.45684265,0.875704923,1.646063477,-0.587224475,-0.056092094,0.267633336,-0.536533533,259782000,603.53,430440,286,141,0.095908786,8.69794377,6.31502e-4,485.3112108,7.29491e-4,0,0,2127.780538,0.622923954,-0.93617002,0.984286192,-1.065758681,75,0.649642492,-0.892758184,-0.892758184,-0.022579337,-0.063690822,0.726999781,-0.090410715,-0.371716958,0.052527069,1.006567297,2991,6,-0.692059655,-0.772110633,595.6255468,425.1494698,36,-5.93503e-4,190851.856836497,-0.139322049,0.074450656,0.152252852,0.12154246400796763,0.029127153,0,0,0,Moderate Opportunity,Moderate Opportunity,Moderate Opportunity
06001400200,1997,Alameda,San Francisco-Oakland-Berkeley,0.09764646970455683,0.8112168252378568,-0.5934749007321345,0.41043593339999995,1.221566193,0.37182887342857146,0.16891433466666667,0.3158540867526207,0.4079558542990476,0,0,0,1424,18,196,177,182,0.26037438206509783,3,0.2671308183525385,-1,0.28693039559339006,0,6001,1997,Alameda,0.265957,0.126523273,0.140100523,0.762511661,0.754883305,0.882518001,0.776845638,1.292897641,1.223402976,-0.15980785,-0.927158056,34,36,1.058823529,1.058823529,0.622844956,1997,233,65,0.0547,0.022,0.116909182,0,147500,34827,1005,0.87012987,1045200,68365,0.816964286,1760,0.883090818,828,828,0.0278,0.033,0.0278,0.07,8.856027329,200522,0,1.041824168,-1.35030498,0.726615558,1.66437226,0.963879783,0.092948858,0.364190807,-0.536533533,259782000,603.53,430440,233,65,0.116909182,8.69794377,6.31502e-4,442.4680396,6.65091e-4,0,0,361.3044038,-0.473831972,0.655405014,0.966950426,-0.690671911,157,0.22289767,-0.75264557,-0.75264557,-0.022579337,-0.021044311,0.726999781,-0.091673164,0.727878661,0.511104423,-0.48377249,1997,40,1.221566193,0.680833358,175.3396572,148.1649029,112,-0.045595733,139678.406309568,0.88744821,-0.511295798,-0.775050601,-0.4940783031964034,-0.13296606300000002,0,0,0,Highest Opportunity,Highest Opportunity,Highest Opportunity
06001400300,5123,Alameda,San Francisco-Oakland-Berkeley,0.16923677532695686,0.7673238336911966,0.22470198046947312,-0.11584140979999999,1.221566193,0.21681700657142855,0.19097484866666664,0.34764372378151365,0.24366488282095236,0,0,0,3431,482,500,385,325,0.2003987587227796,2,0.2671308183525385,0,0.3302752293577982,0,6001,5123,Alameda,0.121281,0.108562512,-0.789853467,0.367450241,0.38020494,0.890854812,0.445783133,-0.61766528,-0.776477964,-0.035621508,0.356739861,131,131,1,1,0.493817842,5123,661,240,0.0751,0.032,0.129964609,0,88173,11036,2981,0.869603267,943300,68932,0.663116175,4425,0.870035391,2458,2458,0.0463,0.0204,0.0463,0.125989921,8.856027329,288053,0,1.041824168,-1.343000374,0.470423209,0.950550504,0.176587579,0.757867493,0.20917894,-0.536533533,259782000,603.53,430440,661,240,0.129964609,8.69794377,6.31502e-4,426.1274354,6.40529e-4,0,0,444.498076,-0.422179334,0.580448455,0.96974429,-0.751121586,183,0.257142857,-0.665541026,-0.665541026,-0.022579337,-0.004779038,0.726999781,-0.137731395,1.076530931,0.347486334,-0.364176511,5123,40,1.221566193,0.215856363,203.886796,207.672802,62,-0.22418836,328014.82177326,0.211941461,-0.385452899,-0.712065235,1.7716240754084194,-0.2951922243333333,0,0,0,Highest Opportunity,Highest Opportunity,Highest Opportunity
06001400400,3991,Alameda,San Francisco-Oakland-Berkeley,0.15409671761463292,0.7790027562014533,-0.15066682758098704,-0.2292804962,1.221566193,0.22795198371428574,0.344296127,0.28277339598665974,0.20561852116952378,0,0,0,2625,238,484,377,267,0.15518835765390496,2,0.2671308183525385,0,0.34227010774242045,0,6001,3986,Alameda,0.25,0.141532167,0.037528616,0.411786419,0.453489302,0.882518001,0.606511628,-0.403250373,-0.385315804,-0.15980785,-0.26658346,98,79,0.806122449,0.806122449,0.068555006,3991,794,251,0.0925,0.054,0.199547625,0.116519174,102821,13517,2108,0.842862855,872400,61928,0.801013942,3185,0.800452375,1786,1786,0.0402,0.14611561,0.0402,0.116729679,8.856027329,268958,0,0.302170187,-0.972079187,0.292169651,1.590366135,0.306755994,0.612814639,0.220313917,-0.536533533,259782000,603.53,430440,794,251,0.199547625,8.69794377,6.31502e-4,444.9574376,6.68833e-4,0,0,450.0438704,-0.418736104,0.575451757,0.966382338,-0.678380427,166,0.608425601,-0.201289864,-0.201289864,-0.022579337,-0.023522312,0.726999781,0.108177209,0.848565985,0.609958342,0.862623729,3986,40,1.221566193,0.629547404,191.3600114,82.93608563,30,-0.438215571,258631.764880048,-0.220382858,-0.649236871,-0.739703876,0.9369402642570389,-0.5364412016666666,0,0,0,Highest Opportunity,Highest Opportunity,Highest Opportunity
06001400500,3944,Alameda,San Francisco-Oakland-Berkeley,0.3443204868154158,0.5895030425963489,-0.23238618414594556,-0.07032515980000001,1.221566193,0.23488297685714285,0.33568035599999996,0.2978836363822394,0.2432080744780952,0,0,0,2105,951,220,407,261,0.29037731427027247,3,0.2671308183525385,-1,0.46627789046653145,0,6001,3944,Alameda,0.198795,0.118127866,-0.291607742,0.54642418,0.59708866,0.890854812,0.656982193,0.24787348,0.381159248,-0.035621508,-0.462314031,146,81,0.554794521,0.554794521,-0.482722988,3944,774,300,0.0942,0.052,0.197097021,0,92375,18444,2454,0.83299389,721700,95631,0.672164254,3153,0.802902979,1625,1625,0.0465,0.02,0.0465,0.128557875,8.856027329,310417,0,1.041824168,-0.835184957,-0.0867,0.992531622,0.140490629,0.927752909,0.22724299,-0.536533533,259782000,603.53,430440,774,300,0.197097021,8.69794377,6.31502e-4,448.931402,6.74807e-4,0,0,681.6943304,-0.274910773,0.366737311,0.937119675,-0.045236339,155,0.515496162,-0.21764006,-0.21764006,-0.022579337,-0.027478372,0.726999781,0.130994263,0.701059256,0.586441738,0.538082145,3944,40,1.221566193,0.464979225,215.2979046,120.6460949,27,-0.418808495,227233.797473318,-0.260913263,-0.569490536,-0.686888182,0.5592201655621634,-0.5057639936666667,0,0,0,Highest Opportunity,Highest Opportunity,Highest Opportunity
06001400600,1635,Alameda,San Francisco-Oakland-Berkeley,0.3314984709480122,0.5425076452599389,-0.7170425377498321,0.030389319399999996,1.221566193,-0.05684197614285714,0.38212152955555556,0.17203850561257325,0.247905957495873,0,0,0,729,402,158,140,206,0.2768482192213795,3,0.2671308183525385,-1,0.5541284403669725,0,6001,1635,Alameda,0.386207,0.151827756,0.913044682,0.367450241,0.38020494,0.890854812,0.445783133,-0.61766528,-0.776477964,-0.035621508,0.356739861,21,28,1.333333333,1.333333333,1.224971488,1635,320,117,0.109480122,0.051,0.195718654,0.223529412,86458,30610,939,0.83764496,615000,54271,0.655394525,1315,0.804281346,691,691,0.0566,0.162349795,0.0566,0.158986175,8.856027329,338745,0,-0.37712186,-0.899700804,-0.354973731,0.914723726,-0.287230759,1.142943128,-0.064480043,-0.536533533,259782000,603.53,430440,320,117,0.195718654,8.69794377,6.31502e-4,426.719924,6.4142e-4,0,0,673.7371749,-0.27985115,0.373906618,0.95412844,-0.413247924,234,0.492679822,-0.226836386,-0.226836386,-0.022579337,-0.00536907,0.726999781,-0.057347392,1.760425767,0.364839644,0.458399633,1635,40,1.221566193,1.067305438,234.1541237,134.9496754,59,-0.256155064,100399.999987952,0.171411056,-0.539242383,-0.645284508,-0.9666007222494962,-0.33770527833333336,-1,-1,0,High Opportunity,High Opportunity,Highest Opportunity
06001400700,4837,Alameda,San Francisco-Oakland-Berkeley,0.5242919164771552,0.41678726483357453,-0.02903852254715139,0.24707421300000001,1.221566193,-0.09965379314285713,0.43233017688888886,0.35445565343977603,0.26526805128253966,-1,-1,-1,1816,1679,200,857,285,0.40981459798458986,3,0.2671308183525385,-1,0.6245606781062643,-1,6001,4837,Alameda,0.445714,0.184600105,1.295548627,0.334270887,0.336631385,0.890854812,0.287878788,-0.778124491,-1.009055904,-0.035621508,0.969110807,33,57,1.727272727,1.727272727,2.089062161,4837,1959,521,0.159585492,0.067,0.406010363,0.13448735,55066,14299,2579,0.789650949,648900,27364,0.420831142,2866,0.593989637,1849,1849,0.0755,0.0888,0.0755,0.207007652,8.856027329,358158,0,0.188109707,-0.233967037,-0.269743892,-0.173599334,-0.962254094,1.290411631,-0.10729186,-0.536533533,259782000,603.53,430440,1959,521,0.406010363,8.69794377,6.31502e-4,428.2103134,6.4366e-4,0,0,399.6577847,-0.450019424,0.620849051,0.857349597,1.680715714,207,0,1.176209573,1.176209573,-0.022579337,-0.006852426,0.726999781,0.206083522,1.398363795,0.349672518,-1.262207867,4837,40,1.221566193,1.25855741,327.3461628,136.8586361,13,-0.407480308,254543.56431726,-0.450055153,-0.535205454,-0.439668993,0.8877588793585458,-0.47497653333333334,-1,-1,-1,Highest Opportunity,Lowest Opportunity,NA
06001400800,3796,Alameda,San Francisco-Oakland-Berkeley,0.4315068493150685,0.5158061116965227,-0.22583789626437237,0.0703861,1.221566193,-0.05884946814285713,0.6253528524444445,0.326523556207443,0.26195541732698413,-1,0,-1,1457,1217,501,421,200,0.29631121901757523,3,0.2671308183525385,-1,0.6161749209694415,0,6001,3796,Alameda,0.325243,0.240019906,0.521176732,0.477024216,0.531601842,0.88178172,0.388130969,-0.087752808,0.03161721,-0.170775599,0.580321487,31,24,0.774193548,0.774193548,-0.00147979,3796,1407,469,0.120629837,0.041,0.3755004,0.246187364,64788,11888,2076,0.789053592,581300,42891,0.489080079,2340,0.6244996,1593,1593,0.0589,0.224516283,0.0589,0.159655347,8.856027329,381075,0,-0.520952646,-0.225680983,-0.439700739,0.143060888,-0.296637108,1.464497844,-0.066487535,-0.536533533,259782000,603.53,430440,1407,469,0.3755004,8.69794377,6.31502e-4,437.6891298,6.57908e-4,0,0,403.8221158,-0.447433907,0.617097036,0.889357218,0.98818011,189,0.742904841,0.972650052,0.972650052,-0.022579337,-0.016287636,0.726999781,0.432529097,1.156989147,0.470004654,1.332271517,3796,40,1.221566193,0.871371462,241.5692399,128.1856619,12,-0.466837593,222723.157081977,-0.463565288,-0.553546418,-0.628924066,0.5049567952068829,-0.5486785906666667,-1,-1,-1,Highest Opportunity,Lowest Opportunity,NA
06001400900,2394,Alameda,San Francisco-Oakland-Berkeley,0.4444444444444444,0.48705096073517123,-0.6874568783602957,-0.04443328740000001,1.221566193,-0.12736810685714284,0.3983877328888889,0.15213913065429005,0.1575170081263492,-1,0,-1,1019,775,147,289,164,0.36489633899298585,3,0.2671308183525385,-1,0.5743525480367586,0,6001,2394,Alameda,0.43871,0.262025224,1.25052413,0.343706897,0.432154406,0.860477477,0.278927203,-0.73249085,-0.499192814,-0.488126683,1.003826068,29,29,1,1,0.493817842,2394,768,217,0.152506372,0.06,0.326253186,0.434567901,57011,6231,1239,0.787666879,586600,66791,0.450305386,1586,0.673746814,1050,1050,0.0526,0.257554742,0.0526,0.111464968,8.856027329,405579,0,-1.716776557,-0.206445628,-0.42637572,-0.036845253,0.380760432,1.650639511,-0.135006174,-0.536533533,259782000,603.53,430440,768,217,0.326253186,8.69794377,6.31502e-4,410.9216528,6.17673e-4,0,0,310.6037397,-0.505310605,0.701085739,0.940267335,-0.113340951,216,0.365768897,0.644077397,0.644077397,-0.022579337,0.0103565,0.726999781,0.0944557,1.519051119,0.422480554,0.015183005,2394,40,1.221566193,1.236045161,114.8638345,146.3735635,5,-0.564218911,127648.055974509,-0.558136233,-0.51508399,-0.90848225,-0.6388043950808867,-0.660567491,-1,-1,-1,High Opportunity,Lowest Opportunity,NA
06001401000,6247,Alameda,San Francisco-Oakland-Berkeley,0.5639506963342404,0.32255482631663196,0.18990421884736555,0.2300720916,1.221566193,-0.46203865042857145,0.34715024088888885,0.30533081878153656,0.18817935354539678,-1,-1,-1,1829,2286,186,1237,709,0.49825920686394853,3,0.2671308183525385,-1,0.7072194653433648,-1,6001,6239,Alameda,0.604563,0.234643445,2.316600977,0.341304532,0.32919734,0.890854812,0.216680294,-0.744108966,-1.048735817,-0.035621508,1.245226637,92,144,1.565217391,1.565217391,1.733600112,6247,2385,565,0.249078378,0.082,0.3822728,0.68459152,60443,9537,3359,0.743635156,466300,69018,0.314374583,3854,0.6177272,2490,2490,0.0581,0.183179308,0.0581,0.131908397,8.856027329,386382,0,-3.303905598,0.404326509,-0.728828513,-0.667534599,0.093393355,1.504811826,-0.469676717,-0.536533533,259782000,603.53,430440,2385,565,0.3822728,8.69794377,6.31502e-4,392.0093823,5.89245e-4,0,0,513.0540608,-0.379614829,0.518680288,0.903029332,0.692362257,218,0,1.017834849,1.017834849,-0.022579337,0.029181889,0.726999781,0.071983337,1.545870524,0.513771833,-1.262207867,6239,40,1.221566193,1.769083585,364.7683441,101.4550168,30,-0.326483273,308502.488467251,-0.220382858,-0.610074407,-0.357102057,1.5368891205420967,-0.39585310733333334,-1,-1,-1,Highest Opportunity,Lowest Opportunity,NA
