fips,county_name.x,CountyID.x,TOTPOP.x,HD01_VD04,HD01_VD03,ratio,ratio2,math_prof,read_prof,grad_rate,pct_not_frpm,z_preK,z_math_prof,z_read_prof,z_grad_rate,az_pct_not_frpm,total_pop_2017,white_2017,black_2017,amer_indian_2017,asian_2017,hispanic_2017,other_2017,moe_total_pop_2017,moe_white_2017,moe_black_2017,moe_amer_indian_2017,moe_asian_2017,moe_hispanic_2017,tot_pop_pov_2017,moe_tot_pop_pov_2017,below_pov_2017,moe_below_pov_2017,below_200_pov_2017.x,moe_below_200_pov_2017.x,pct_below_pov_2017,moe_pct_below_pov_2017,pct_below_200_pov_2017.x,pct_assist_2017,med_hhincome_2017,moe_med_hhincome_2017,pop_20to60_2017,employed_pop_20to60_2017,pct_employed_20to60_2017,home_value_2017,moe_home_value_2017,pct_bachelors_plus_2017,above_200_pov_2017,pct_above_200_pov_2017,tot_hh_2017,moe_tot_hh_2017,pct_singleparent_hh_2017.x,pct_long_commute_2017,moe_other_2017,moe_pct_below_200_pov_2017,moe_pop_20to60_2017,moe_pct_employed_20to60_2017,moe_employed_pop_20to60_2017,moe_pct_bachelors_plus_2017,moe_above_200_pov_2017,moe_pct_above_200_pov_2017,moe_pct_singleparent_hh_2017.x,moe_pct_long_commute_2017,moe_assist_2017,X__1,fips2,moe_long_commute_pct,long_commute_pct,low_wage_med_distance,jobs_lowed,rural_flag,az_pct_assist_2017,az_pct_employed_20to60_2017,z_home_value_2017,z_pct_bachelors_plus_2017,az_pct_long_commute_2017,z_jobs_lowed,Econ_Domain,pct_singleparent_hh_2017.y,moe_pct_singleparent_hh_2017.y,az_pct_singleparent_hh_2017,CountyID.y,TOTPOP.y,Median_bb,z_broadband,Clubs,AVGDIS_REL,reg_vote,z_broadband2,Conduit,SOCIAL_CAP,Conduit_test,county_name.y,below_200_pov_2017.y,moe_below_200_pov_2017.y,pct_below_200_pov_2017.y,pm25,pct_pm25,toxRelease,pct_toxRelease,lead_pctl,pct_lead_pctl,Grocery,z_Grocery,az_Grocery,P_INSURED,az_insurance,H_Crime,pct_parks,az_pct_below_200_pov_2017,az_pct_below_200_pov_20172,az_pct_pm25,az_pct_toxRelease,az_pct_lead_pctl,Housing_Env_Domain,test_azcrime,azhealthcare,zparks,zclubs,zreligious,z_regvoter,AVG_DIS_PC,z_healthcare.y,z_sdrevpcap,sdrev,sdrevpcap,sd_totpop
6001400100,Alameda,6001,2991,85,40,0.470588235,0.470588235,0.687478628,0.663649692,0.89659889,0.758135444,-0.667426185,0.930029177,0.736435003,0.049943108,-0.854597803,2991,2070,84,0,484,113,240,194,208,60,12,166,61,2982,195,126,80,286,141,4.23E-02,2.60E-02,9.59E-02,0,208393,46352,1364,1099,0.805718475,1104500,89904,0.813018242,2696,0.904091214,1254,1254,0.111587983,0.180327869,340.4717316,4.69E-02,179.6190413,6.02E-02,166.3730747,6.97E-02,240.6366556,5.49E-02,0.102828434,5.95E-02,2.99E-02,1,6001400100,5.95E-02,0.180327869,8.856027329,180902,0,1.041824168,-0.45684265,0.875704923,1.646063477,-0.587224475,-0.056092094,0.267633336,0.111588,0.102828434,-0.852161611,6001,2991,6,-0.692059655,595.6255468,425.1494698,36,-0.692059655,-0.772110633,-0.000593503,-0.772110633,Alameda,286,141,0.095908786,8.69794377,0.000631502,485.3112108,0.000729491,0,0,2127.780538,0.622923954,-0.93617002,0.984286192,-1.065758681,75,0.649642492,-0.892758184,-0.892758184,-0.022579337,-0.063690822,0.726999781,-0.090410715,-0.371716958,0.052527069,1.006567297,0.152252852,0.074450656,-0.139322049,3270.673294,-0.060546622,-0.536533533,259782000,603.53,430440
6001400200,Alameda,6001,1997,34,36,1.058823529,1.058823529,0.762511661,0.754883305,0.882518001,0.776845638,0.622844956,1.292897641,1.223402976,-0.15980785,-0.927158056,1997,1424,18,5,196,177,177,96,129,20,7,66,80,1993,94,109,45,233,65,5.47E-02,2.20E-02,0.116909182,0,147500,34827,1155,1005,0.87012987,1045200,68365,0.816964286,1760,0.883090818,828,828,0.265957447,7.00E-02,192.5149345,3.21E-02,127.1809734,4.00E-02,119.8999583,7.68E-02,114.2847321,3.94E-02,0.126523273,2.78E-02,3.30E-02,2,6001400200,2.78E-02,7.00E-02,8.856027329,200522,0,1.041824168,-1.35030498,0.726615558,1.66437226,0.963879783,0.092948858,0.364190807,0.265957,0.126523273,0.140100523,6001,1997,40,1.221566193,175.3396572,148.1649029,112,1.221566193,0.680833358,-0.045595733,0.680833358,Alameda,233,65,0.116909182,8.69794377,0.000631502,442.4680396,0.000665091,0,0,361.3044038,-0.473831972,0.655405014,0.966950426,-0.690671911,157,0.22289767,-0.75264557,-0.75264557,-0.022579337,-0.021044311,0.726999781,-0.091673164,0.727878661,0.511104423,-0.48377249,-0.775050601,-0.511295798,0.88744821,1784.463362,-0.489706242,-0.536533533,259782000,603.53,430440
6001400300,Alameda,6001,5123,131,131,1,1,0.367450241,0.38020494,0.890854812,0.445783133,0.493817842,-0.61766528,-0.776477964,-0.035621508,0.356739861,5123,3431,482,0,500,385,325,312,338,150,17,165,173,5086,300,382,163,661,240,7.51E-02,3.20E-02,0.129964609,0,88173,11036,3428,2981,0.869603267,943300,68932,0.663116175,4425,0.870035391,2458,2458,0.121281465,0.125989921,539.9361073,4.66E-02,377.1498376,5.13E-02,372.2217081,7.15E-02,384.1874542,5.54E-02,0.108562512,4.63E-02,2.04E-02,3,6001400300,4.63E-02,0.125989921,8.856027329,288053,0,1.041824168,-1.343000374,0.470423209,0.950550504,0.176587579,0.757867493,0.20917894,0.121281,0.108562512,-0.789853467,6001,5123,40,1.221566193,203.886796,207.672802,62,1.221566193,0.215856363,-0.22418836,0.215856363,Alameda,661,240,0.129964609,8.69794377,0.000631502,426.1274354,0.000640529,0,0,444.498076,-0.422179334,0.580448455,0.96974429,-0.751121586,183,0.257142857,-0.665541026,-0.665541026,-0.022579337,-0.004779038,0.726999781,-0.137731395,1.076530931,0.347486334,-0.364176511,-0.712065235,-0.385452899,0.211941461,2314.735572,-0.336584253,-0.536533533,259782000,603.53,430440
6001400400,Alameda,6001,3986,98,79,0.806122449,0.806122449,0.411786419,0.453489302,0.882518001,0.606511628,0.068555006,-0.403250373,-0.385315804,-0.15980785,-0.26658346,3991,2625,238,11,484,377,256,250,261,140,18,134,202,3979,250,368,219,794,251,9.25E-02,5.40E-02,0.199547625,0.116519174,102821,13517,2501,2108,0.842862855,872400,61928,0.801013942,3185,0.800452375,1786,1786,0.25,0.116729679,457.4986339,6.18E-02,266.3831827,3.13E-02,237.8150542,5.86E-02,354.2612031,7.35E-02,0.141532167,4.02E-02,0.14611561,4,6001400400,4.02E-02,0.116729679,8.856027329,268958,0,0.302170187,-0.972079187,0.292169651,1.590366135,0.306755994,0.612814639,0.220313917,0.25,0.141532167,0.037528616,6001,3986,40,1.221566193,191.3600114,82.93608563,30,1.221566193,0.629547404,-0.438215571,0.629547405,Alameda,794,251,0.199547625,8.69794377,0.000631502,444.9574376,0.000668833,0,0,450.0438704,-0.418736104,0.575451757,0.966382338,-0.678380427,166,0.608425601,-0.201289864,-0.201289864,-0.022579337,-0.023522312,0.726999781,0.108177209,0.848565985,0.609958342,0.862623729,-0.739703876,-0.649236871,-0.220382858,1464.086276,-0.582218683,-0.536533533,259782000,603.53,430440
6001400500,Alameda,6001,3944,146,81,0.554794521,0.554794521,0.54642418,0.59708866,0.890854812,0.656982193,-0.482722988,0.24787348,0.381159248,-0.035621508,-0.462314031,3944,2105,951,0,220,407,261,313,301,242,12,113,183,3927,308,370,218,774,300,9.42E-02,5.20E-02,0.197097021,0,92375,18444,2946,2454,0.83299389,721700,95631,0.672164254,3153,0.802902979,1625,1625,0.198795181,0.128557875,541.7896271,7.48E-02,342.1549357,2.84E-02,297.0202013,6.02E-02,429.9581375,8.96E-02,0.118127866,4.65E-02,2.00E-02,5,6001400500,4.65E-02,0.128557875,8.856027329,310417,0,1.041824168,-0.835184957,-8.67E-02,0.992531622,0.140490629,0.927752909,0.22724299,0.198795,0.118127866,-0.291607742,6001,3944,40,1.221566193,215.2979046,120.6460949,27,1.221566193,0.464979225,-0.418808495,0.464979226,Alameda,774,300,0.197097021,8.69794377,0.000631502,448.931402,0.000674807,0,0,681.6943304,-0.274910773,0.366737311,0.937119675,-0.045236339,155,0.515496162,-0.21764006,-0.21764006,-0.022579337,-0.027478372,0.726999781,0.130994263,0.701059256,0.586441738,0.538082145,-0.686888182,-0.569490536,-0.260913263,1540.301574,-0.560210669,-0.536533533,259782000,603.53,430440
6001400600,Alameda,6001,1635,21,28,1.333333333,1.333333333,0.367450241,0.38020494,0.890854812,0.445783133,1.224971488,-0.61766528,-0.776477964,-0.035621508,0.356739861,1635,729,402,4,158,140,202,177,116,142,6,83,64,1635,177,179,91,320,117,0.109480122,5.10E-02,0.195718654,0.223529412,86458,30610,1121,939,0.83764496,615000,54271,0.655394525,1315,0.804281346,691,691,0.386206897,0.158986175,275.626559,6.84E-02,143.7080374,4.55E-02,130.7478489,5.74E-02,212.1744565,9.62E-02,0.151827756,5.66E-02,0.162349795,6,6001400600,5.66E-02,0.158986175,8.856027329,338745,0,-0.37712186,-0.899700804,-0.354973731,0.914723726,-0.287230759,1.142943128,-0.064480043,0.386207,0.151827756,0.913044682,6001,1635,40,1.221566193,234.1541237,134.9496754,59,1.221566193,1.067305438,-0.256155064,1.067305438,Alameda,320,117,0.195718654,8.69794377,0.000631502,426.719924,0.00064142,0,0,673.7371749,-0.27985115,0.373906618,0.95412844,-0.413247924,234,0.492679822,-0.226836386,-0.226836386,-0.022579337,-0.00536907,0.726999781,-0.057347392,1.760425767,0.364839644,0.458399633,-0.645284508,-0.539242383,0.171411056,2258.494983,-0.352824348,-0.536533533,259782000,603.53,430440
6001400700,Alameda,6001,4837,33,57,1.727272727,1.727272727,0.334270887,0.336631385,0.890854812,0.287878788,2.089062161,-0.778124491,-1.009055904,-0.035621508,0.969110807,4837,1816,1679,61,200,857,224,523,344,283,80,86,415,4825,523,770,335,1959,521,0.159585492,6.70E-02,0.406010363,0.13448735,55066,14299,3266,2579,0.789650949,648900,27364,0.420831142,2866,0.593989637,1849,1849,0.445714286,0.207007652,811.1565817,9.86E-02,418.9952267,4.79E-02,366.0204912,5.01E-02,738.2208342,0.138792419,0.184600105,7.55E-02,8.88E-02,7,6001400700,7.55E-02,0.207007652,8.856027329,358158,0,0.188109707,-0.233967037,-0.269743892,-0.173599334,-0.962254094,1.290411631,-0.10729186,0.445714,0.184600105,1.295548627,6001,4837,40,1.221566193,327.3461628,136.8586361,13,1.221566193,1.25855741,-0.407480308,1.25855741,Alameda,1959,521,0.406010363,8.69794377,0.000631502,428.2103134,0.00064366,0,0,399.6577847,-0.450019424,0.620849051,0.857349597,1.680715714,207,0,1.176209573,1.176209573,-0.022579337,-0.006852426,0.726999781,0.206083522,1.398363795,0.349672518,-1.262207867,-0.439668993,-0.535205454,-0.450055153,2307.650338,-0.338630193,-0.536533533,259782000,603.53,430440
6001400800,Alameda,6001,3796,31,24,0.774193548,0.774193548,0.477024216,0.531601842,0.88178172,0.388130969,-0.00147979,-0.087752808,0.03161721,-0.170775599,0.580321487,3796,1457,1217,9,501,421,191,418,181,419,15,133,193,3747,393,452,159,1407,469,0.120629837,4.10E-02,0.3755004,0.246187364,64788,11888,2631,2076,0.789053592,581300,42891,0.489080079,2340,0.6244996,1593,1593,0.325242718,0.159655347,661.9735644,0.118809227,286.2900627,5.04E-02,261.9923663,6.50E-02,611.8905131,0.14958983,0.240019906,5.89E-02,0.224516283,8,6001400800,5.89E-02,0.159655347,8.856027329,381075,0,-0.520952646,-0.225680983,-0.439700739,0.143060888,-0.296637108,1.464497844,-0.066487535,0.325243,0.240019906,0.521176732,6001,3796,40,1.221566193,241.5692399,128.1856619,12,1.221566193,0.871371462,-0.466837593,0.871371463,Alameda,1407,469,0.3755004,8.69794377,0.000631502,437.6891298,0.000657908,0,0,403.8221158,-0.447433907,0.617097036,0.889357218,0.98818011,189,0.742904841,0.972650052,0.972650052,-0.022579337,-0.016287636,0.726999781,0.432529097,1.156989147,0.470004654,1.332271517,-0.628924066,-0.553546418,-0.463565288,1917.664195,-0.451243023,-0.536533533,259782000,603.53,430440
6001400900,Alameda,6001,2394,29,29,1,1,0.343706897,0.432154406,0.860477477,0.278927203,0.493817842,-0.73249085,-0.499192814,-0.488126683,1.003826068,2394,1019,775,9,147,289,155,186,178,204,15,63,150,2354,173,359,148,768,217,0.152506372,0.06,0.326253186,0.434567901,57011,6231,1573,1239,0.787666879,586600,66791,0.450305386,1586,0.673746814,1050,1050,0.438709677,0.111464968,366.8650978,8.90E-02,201.9059187,5.81E-02,183.4529913,6.44E-02,277.5211704,0.10699128,0.262025224,5.26E-02,0.257554742,9,6001400900,5.26E-02,0.111464968,8.856027329,405579,0,-1.716776557,-0.206445628,-0.42637572,-0.036845253,0.380760432,1.650639511,-0.135006174,0.43871,0.262025224,1.25052413,6001,2394,40,1.221566193,114.8638345,146.3735635,5,1.221566193,1.236045161,-0.564218911,1.236045162,Alameda,768,217,0.326253186,8.69794377,0.000631502,410.9216528,0.000617673,0,0,310.6037397,-0.505310605,0.701085739,0.940267335,-0.113340951,216,0.365768897,0.644077397,0.644077397,-0.022579337,0.0103565,0.726999781,0.0944557,1.519051119,0.422480554,0.015183005,-0.90848225,-0.51508399,-0.558136233,2071.685729,-0.406767594,-0.536533533,259782000,603.53,430440
6001401000,Alameda,6001,6239,92,144,1.565217391,1.565217391,0.341304532,0.32919734,0.890854812,0.216680294,1.733600112,-0.744108966,-1.048735817,-0.035621508,1.245226637,6247,1829,2286,8,186,1237,701,473,320,520,11,89,467,6239,472,1554,519,2385,565,0.249078378,8.20E-02,0.3822728,0.68459152,60443,9537,4517,3359,0.743635156,466300,69018,0.314374583,3854,0.6177272,2490,2490,0.604562738,0.131908397,907.0060639,8.58E-02,592.9148337,6.14E-02,520.8147463,5.09E-02,736.2126052,0.108353251,0.234643445,5.81E-02,0.183179308,10,6001401000,5.81E-02,0.131908397,8.856027329,386382,0,-3.303905598,0.404326509,-0.728828513,-0.667534599,0.093393355,1.504811826,-0.469676717,0.604563,0.234643445,2.316600977,6001,6239,40,1.221566193,364.7683441,101.4550168,30,1.221566193,1.769083585,-0.326483273,1.769083585,Alameda,2385,565,0.3822728,8.69794377,0.000631502,392.0093823,0.000589245,0,0,513.0540608,-0.379614829,0.518680288,0.903029332,0.692362257,218,0,1.017834849,1.017834849,-0.022579337,0.029181889,0.726999781,0.071983337,1.545870524,0.513771833,-1.262207867,-0.357102057,-0.610074407,-0.220382858,1775.818512,-0.492202538,-0.536533533,259782000,603.53,430440
