,fips,index.x,DI_Blk_Lat_POV30_OR_POV30_SPF30.x,category,DI_Blk_Lat_POV30,SPF30_P30
1579,6097153902,0.0782855,-1,Lowest Opportunity,0,-1
1578,6097153705,0.120540209,-1,Lowest Opportunity,0,-1
1577,6097153704,0.067074383,-1,Lowest Opportunity,0,-1
1576,6097153703,0.046401487,-1,Lowest Opportunity,0,-1
1575,6097153300,-0.082092692,-1,Lowest Opportunity,0,-1
1574,6097153200,-0.268009796,-1,Lowest Opportunity,-1,-1
1573,6097153104,0.030531898,-1,Lowest Opportunity,-1,-1
1572,6097153103,-0.07044311,-1,Lowest Opportunity,-1,-1
1571,6097153102,-0.169628809,-1,Lowest Opportunity,-1,0
1570,6097153006,-0.086475648,-1,Lowest Opportunity,0,-1
1569,6097153003,-0.130690864,-1,Lowest Opportunity,0,-1
1568,6097153002,0.06206615,-1,Lowest Opportunity,-1,-1
1567,6097153001,-0.044443495,-1,Lowest Opportunity,0,-1
1566,6097152903,-0.145594617,-1,Lowest Opportunity,-1,-1
1565,6097152802,-0.149304783,-1,Lowest Opportunity,0,-1
1564,6097152702,0.064981842,-1,Lowest Opportunity,0,-1
1563,6097152203,0.112247812,-1,Lowest Opportunity,0,-1
1562,6097152201,-0.112478262,-1,Lowest Opportunity,0,-1
1561,6097152000,-0.121438312,-1,Lowest Opportunity,0,-1
1560,6097151402,-0.252323949,-1,Lowest Opportunity,0,-1
1559,6097151310,-0.252686973,-1,Lowest Opportunity,0,-1
1558,6097151305,-0.093436447,-1,Lowest Opportunity,0,-1
1557,6097150306,0.004914989,-1,Lowest Opportunity,0,-1
1556,6097150305,-0.107359084,-1,Lowest Opportunity,-1,0
1555,6095253404,-0.323894775,-1,Lowest Opportunity,0,-1
1554,6095253203,-0.055214475,-1,Lowest Opportunity,0,-1
1553,6095253107,0.066493121,-1,Lowest Opportunity,0,-1
1552,6095253105,-0.063171732,-1,Lowest Opportunity,0,-1
1551,6095252707,-0.119712524,-1,Lowest Opportunity,0,-1
1550,6095252704,-0.033454558,-1,Lowest Opportunity,0,-1
1549,6095252703,-0.302905967,-1,Lowest Opportunity,0,-1
1548,6095252611,0.020888811,-1,Lowest Opportunity,0,-1
1547,6095252608,-0.097350047,-1,Lowest Opportunity,0,-1
1546,6095252607,-0.248927794,-1,Lowest Opportunity,-1,0
1545,6095252606,-0.208060338,-1,Lowest Opportunity,0,-1
1544,6095252605,-0.200397049,-1,Lowest Opportunity,0,-1
1543,6095252604,-0.136948006,-1,Lowest Opportunity,0,-1
1542,6095252502,0.031611,-1,Lowest Opportunity,0,-1
1541,6095252501,-0.056540421,-1,Lowest Opportunity,0,-1
1540,6095252402,-0.160368494,-1,Lowest Opportunity,0,-1
1539,6095251903,0.159372604,-1,Lowest Opportunity,-1,-1
1538,6095251901,-0.186098143,-1,Lowest Opportunity,0,-1
1537,6095251804,0.115355215,-1,Lowest Opportunity,0,-1
1536,6095251803,0.047713297,-1,Lowest Opportunity,0,-1
1535,6095251802,-0.223967196,-1,Lowest Opportunity,0,-1
